0 0
50 75
100 161
150 201
200 230
250 233
300 232
350 243
400 240
450 220
500 243
550 237
600 235
650 239
700 231
750 243
800 242
850 239
900 240
950 244
1000 218
1050 243
1100 231
1150 247
1200 231
1250 235
1300 242
1350 243
1400 240
1451 241
1501 226
1551 239
1601 245
1651 239
1701 245
1751 232
1801 233
1851 242
1901 240
1951 244
2001 245
2051 211
2101 244
2151 241
2201 232
2251 236
2301 234
2351 233
2401 242
2451 241
2501 245
2551 241
2601 217
2651 240
2701 241
2751 241
2801 234
2851 234
2902 244
2952 244
3002 241
3052 246
3102 243
3152 215
3202 240
3252 229
3302 249
3352 231
3402 232
3452 243
3502 239
3552 240
3602 243
3652 223
3702 243
3752 245
3802 234
3852 245
3902 235
3952 237
4002 243
4052 241
4102 240
4152 244
4202 217
4252 246
4302 241
4352 232
4402 236
4452 234
4502 242
4552 243
4602 241
4652 240
4702 241
4752 220
4802 246
4852 238
4902 243
4952 231
